County,Male ,Female,Intersex,Total Population,Town,lat,lng
Mombasa,610257,598046,30,1208333,Mombasa,3.9768 S,39.7137 E
Kwale,425121,441681,18,866820,Kwale,4.1816 S,39.4606 E
Kilifi,704089,749673,25,1453787,Kilifi,3.5107 S,39.9093 E
Tana River,158550,157391,2,315943,Tana River,1.6518 S,39.6518 E
Lamu,76103,67813,4,143920,Lamu,1.6518 S,39.6518 E
Taita/Taveta,173337,167327,7,340671,Taita/Taveta,3.3161 S,38.4850 E
Garissa,458975,382344,34,841353,Garissa,0.4532 S,39.6461 E
Wajir,415374,365840,49,781263,Wajir,1.6360 N,40.3089 E
Mandera,434976,432444,37,867457,Mandera,3.5738 N,40.9587 E
Marsabit,243548,216219,18,459785,Marsabit,2.4426 N,37.9785 E
Isiolo,139510,128483,9,268002,Isiolo,0.3524 N,38.4850 E
Meru,767698,777975,41,1545714,Meru,0.3557 N,37.8088 E
Tharaka-Nithi,193764,199406,7,393177,Tharaka-Nithi,0.2965 S,37.7238 E
Embu,304208,304367,24,608599,Embu,0.6560 S,37.7238 E
Kitui,549003,587151,33,1136187,Kitui,1.6833 S,38.3166 E
Machakos,710707,711191,34,1421932,Machakos,1.5177 S,37.2634 E
Makueni,489691,497942,20,987653,Makueni,2.2559 S,37.8937 E
Nyandarua,315022,323247,20,638289,Nyandarua,0.1804 S,36.5230 E
Nyeri,374288,384845,31,759164,Nyeri,0.4197 S,37.0400 E
Kirinyaga,302011,308369,31,610411,Kirinyaga,0.6591 S,37.3827 E
Murang'a,523940,532669,31,1056640,Murang'a,0.7839 S,37.0400 E
Kiambu,1187146,1230454,135,2417735,Kiambu,1.0314 S,36.8681 E
Turkana,478087,448868,21,926976,Turkana,3.3122 N,35.5658 E
West Pokot,307013,314213,15,621241,West Pokot,1.6210 N,35.3905 E
Samburu,156774,153546,7,310327,Samburu,1.2155 N,36.9541 E
Trans Nzoia,489107,501206,28,990341,Trans Nzoia,1.0567 N,34.9507 E
Uasin Gishu,580269,582889,28,1163186,Uasin Gishu,0.5528 N,35.3027 E
Elg eyo/Marakwet,227317,227151,12,454480,Elg eyo/Marakwet,1.0498 N,35.4782 E
Nandi,441259,444430,22,885711,Nandi,0.1836 N,35.1269 E
Baringo,336322,330428,13,666763,Baringo,0.8555 N,36.0893 E
Laikipia,259440,259102,18,518560,Laikipia,0.3606 N,36.7820 E
Nakuru,1077272,1084835,95,2162202,Nakuru,0.4254 S,36.0023 E
Narok,579042,578805,26,1157873,Narok,1.3605 S,35.7407 E
Kajiado,557098,560704,38,1117840,Kajiado,2.0981 S,36.7820 E
Kericho,450741,451008,28,901777,Kericho,0.1828 S,35.4782 E
Bomet,434287,441379,23,875689,Bomet,0.8015 S,35.3027 E
Kakamega,897133,970406,40,1867579,Kakamega,0.2827 N,34.7519 E
Vihiga,283678,306323,12,590013,Vihiga,0.0768 N,34.7078 E
Bungoma,812146,858389,35,1670570,Bungoma,0.5695 N,34.5584 E
Busia,426252,467401,28,893681,Busia,0.4347 N,34.2422 E
Siaya,471669,521496,18,993183,Siaya,0.0617 S,34.2422 E
Kisumu,560942,594609,23,1155574,Kisumu,0.0917 S,34.7680 E
Homa Bay,539560,592367,23,1131950,Homa Bay,0.6221 S,34.3310 E
Migori,536187,580214,35,1116436,Migori,0.9366 S,34.4198 E
Kisii,605784,661038,38,1266860,Kisii,0.6773 S,34.7796 E
Nyamira,290907,314656,13,605576,Nyamira,0.6483 S,34.9948 E
Nairobi City,2192452,2204376,245,4397073,Nairobi City,1.2921 S,36.8219 E
